img1	BROADBENT VINHO VERDE DENOMINAÇÃO DE ORIGEM CONTROLADA Product of Portugal	0 408 489 645
img12	RIOJA Denominacion De Origen Calificada	61 596 397 642
img13	ALBJANDRO FERNANDKZ	69 30 336 73
img13	TINTO	133 385 267 423
img13	PesQueRI CRIANZA 2014 10 RIBERA DEL DUERO DENOMINACIÓN DE ORIGEN	16 403 404 688
img14	VATA N	105 105 345 167
img14	2015	182 464 277 504
img14	T'NTA ]DJE T@Ro	126 525 330 555
img14	HKP T@Ro W"l 3Mu Denoxinacion De Oricey	48 589 415 693
img15	EST 1896	232 104 326 130
img15	LUSTAU FINE SELECTED WINES	109 126 438 242
img15	Fino	211 410 338 474
img15	DEL PUERTO Muy seco Very dry JEREZ-XÉRÈS-SHERRY LUSTAU $0LER A FA MILTA R	96 458 438 660
img16	DRY SACK Me-{iam ADISTINCTIVE BLENDED OF SHERRIES AGED IN OAK CASKS IA	0 174 333 389
img16	JEREZXÉRÈS SHERRY BEST SERVED ChiLLED Or On Uu RoCas Paoduced 8ottled Spaiv 704 IfHHLAH	125 534 247 725
img17	DESDE 1821	234 128 376 154
img17	cUCO	156 235 454 325
img17	0 LORO S0	200 386 410 418
img17	Aged	221 451 273 465
img17	12 YEAR JEREZ-XÉRÈS ` SHERRY	136 435 471 562
img17	BARBADILLO JE52 E 78 2	208 648 404 717
img18	'Qu	230 222 280 248
img18	Lamarca PROSECCO D. 0 C. SPARKLING WINE	46 257 329 518
img18	ProducT OFTAly	110 582 257 603
img19	ExTRA CuvEE	68 100 206 124
img19	DE REsERVE	351 100 478 127
img19	C H A M P A G N E 9É/9og? e P e R N A Y F R A N € e BRUT ~APPELLATION D'ORIGINE CONTROLEE; 128 ACI ELABORE PRODUCE OF FRANCE PAR POL ROGER , EPERNAY FRANCE ENM 276-004	19 161 558 574
img20	RUTHERFORD HILL	0 110 324 166
img20	1980 Napa Valley CABERNET SAUVIGNON Peocnced / hill ' 1 Wmery AnherfoRD , And BOTTLED BY RuTHERrjnd Yauv CALIF USA * ALCOHOL 12.81 BY'	-3 420 332 648
img21	1980	132 338 214 386
img21	NAPA VALLEY CABERNET BOSCHE (Cabernet Sawvignon) AK PRODUCED BOTILED [ CALFORM BY ~ABBEY AND WINERY ST HELENA Alconol 13.88 by volume	16 396 315 663
img21	pREEMARF 3	14 -20 315 140
img22	ALTEO	102 37 239 69
img22	Ban festeyfia la venden	115 105 215 125
img22	CHIANTI DEOINOYEQUG FCOYIOILIFGAUMIIA RISERVA	68 326 274 375
img22	DONNAGBLAURA	77 399 265 435
img23	CORDERO S A N G ! 0 R G No	19 27 312 113
img23	PIASA ROSATO	108 394 224 468
img24	T R E N T 0	265 43 382 70
img24	GESARINI SFORZA M ET0 D 0 C LA $ $ | € 0	109 159 537 249
img24	B R UT	272 304 380 332
img25	RINALDINI Azienda Agricola Moro	143 13 365 88
img25	Lambrusco SEccO	135 196 371 267
img25	QYaola	189 311 233 327
img25	viticolone a Cabenno di €Jant Slavio d {nza	101 329 395 349
img26	VALPOLICELLA DENOMINAZIONE Origine ContaollaTA	30 161 261 241
img26	FARINA	65 331 225 367
img27	VALPOLICELLA RIPASSO Casee DeroyinaziowE Di orioine Sapeneve ConirOllATA	26 140 240 269
img27	FARINA	57 311 209 349
img28	FARINA	211 47 349 85
img28	@Imarone	178 288 378 340
img28	della  Valpolicella DenOMInAZONE Dl ORIGINE CONIROIAIA GAKANTIA classico Imbottigliato dallazienda vinicola FARINA 5. PIETRO INCARIANO VR) ItALIA 750mle PRODOTTO IN ITALIA	115 327 443 482
img29	CORDERO S A N G | 0 R G | 0	28 24 385 120
img29	EXERGIA	117 447 291 487
img29	MOSCATO D'ASTI 1/ ,9/ 1 4 / J6 1 ! ()"/ 996 > : W :}, 1 '	47 485 369 543
img30	PRODUCT	97 23 163 37
img30	OF ITALY	287 21 353 35
img30	ROERO ARNEIS DENOMINAZIONE DORIGINE CONTROLLATA FGARANTITA	54 158 384 217
img30	[TALIAN DRY WHITE WINE	175 259 269 293
img30	Y0g	337 287 377 301
img30	Jm aomento da wex Dma Mtamewicweidulle y 4/ Slen	91 303 261 365
img30	750 ML	147 375 199 391
img30	Ko,@	339 385 373 401
img30	ALC. 14 BYVOL CONTAINS SULFITES	105 393 241 425
img30	3378252	89 439 151 453
img30	553255~	299 437 359 451
img30	BRUNO GIACOSA	96 480 350 510
img30	BOITLED BY GIACOSA BRUNO SAS NFIVE IALY	127 533 325 561
img31	CaVoLa BARBERA DALBA denovinazione Di origiwe Contaollata BRIC DU LUV	123 285 418 453
img32	1 1 5 9 1 1 Oaeusso 3 1 4 M 2 {; | : 3 8 BAROLO H 1 DENOMINAZIONE DI ORIGINE CONTROLLATA E GARANTITA 5 RISERVA {;	5 8 675 393
img32	BUSSIA VIGNA ROCCHE	115 465 559 507
img33	FONTODI Chianti Classico Denommnazione di origmne controllata € garantita INTEGRALMENTE PRODOTTOE IMBOTTIGLIATOALLORIGINE NELLA AZIENDA AGRICOLA FONTODI DI GIOVANMT E MARCO MANETTI S S. PANZAYO /N CHIANTI GREVE ITALIA PRODUCT OF ITALY	87 321 371 541
img33	750n e	429 481 503 517
img34	MASSETO	104 126 344 180
img34	M	207 279 247 319
img34	TOSCANA	174 480 270 504
img34	INDICAZIONE GEOGRAFICA TIPICA	139 507 307 521
img35	GRAN	145 85 207 101
img35	SELFZIONF	111 101 242 117
img35	CIIANTI CLASSIC0 1 Jriginf cc Ollete 3	57 121 295 168
img35	VIGNa	156 234 192 242
img35	MONTEBELLO SETTE	85 245 267 281
img35	TOLAINI	113 417 239 437
img36	FÈ LS1 NA	63 19 239 57
img36	era rdenga CHIANTI CLASSICO RISERVA Dcoooiolmeioor Ouei Controollaea Cemfmolllln Flin , Castcinmoo Hcrardepka Yicoa Icuhia	47 174 262 290
img36	Felsing	16 388 54 396
img36	Ilalia	256 390 288 398
img37	CHIANTI CLAESICO DENOMINAZIONE ORIGINE CONTROLLATA Garantita	67 51 310 104
img37	VALLENUOVA	86 190 290 214
img37	TOLAINI	122 322 258 346
img38	Le	306 44 336 50
img38	PoLIZIANO Nobile d; Montepulciano	152 155 512 316
img39	TELLA	197 112 286 149
img39	LI €o	202 308 310 357
img39	BRUNELLO di MONTALCINO DEvOMInAZiONEDiORIGINE CoNTROLLATAEGaranTTTA	84 480 418 521
img39	RISERVA	196 532 306 560
img40	GRECO DI TUFO FEUDI DI SAN GREGORIO	18 342 254 554
img41	ciroplcariello In iumitonle	120 93 411 180
img41	7iano di Avellino Denominazione di Origine Protetta	70 454 483 600
img42	RADICI Courosi DENOMINAZIONE DI ORICINE CONTROLLATA E CARANTITA Siserva	92 165 540 436
img42	Aashrobegordino	171 525 473 589
img43	BENANTI	246 146 444 194
img43	ETNA ROSSO	213 491 474 533
img43	Denominazione di Origine Controllata	147 543 542 576
img44	1 2 1 1 1 | 1 8 5 0 gi/ ; Lul | Hrs | 1 '2	483 5 657 462
img44	MARco DE BARTOLI	115 74 369 113
img44	VIGNAVERDE 2023	119 167 365 238
img45	TERRA COSTA NTINO	60 32 241 191
img45	Etna, madre mia, anch'io ho una bella grotta tra le cave rocce Teocrito, Idilli IX deAetna etna rosso doc 2021	-6 337 250 633
img46	Canthu Kellercr Terhan Sradilion Pinot Grigio 202}	31 250 448 542
img47	2020	144 33 403 97
img47	FARINA	144 170 390 212
img47	@Imarone della Valpolicella | DEKOMINAZIONE GAKANTITA DIORIGINE CONTROLLATA classico PARINA Imboughato dall aenda vincola ITALA PIETRO CARIANO (VR) 750 mle IN '15%0 PRODOTTO IN ITALIA	15 437 495 662
img48	2019	40 80 154 130
img48	TÚFOBLU	198 318 330 350
img48	BARBARESCO	142 380 385 420
img48	Denominazione di Origine Controllata e Garantita	49 407 465 449
img48	COL DEI VENTI	33 581 482 671
img49	BRRAMOSIA 2021 CacyC ix dolce cowgaSnia d; Bacco c Cw}ido	63 34 454 192
img49	CHIANTI CLASSICO DENOMINAZIONE DI ORIGINE CONTROLLATA GARANTITA	78 486 455 561
img49	LAURA	319 603 436 647
img49	DONNA	97 601 243 653
img50	AL PASSO TOSCANA INDICAZIONE GEOGRAFICA TIPICA 2020	41 192 458 366
img50	TOLAINI	104 612 369 652
img51	ESTD	179 113 219 129
img51	893	299 115 327 131
img51	JARC BRÉDIF VOUVRAY APPELLATIon VoUVRAY CONTRÒLÉE	0 173 482 368
img51	CLA S S I C 2022 HCH PRODUCT OF FRANCE ?lacBrédif Quai de la Loire - Rochecorbon (Indre et Loire) - France Coeri	34 438 487 661
img52	Lc DcR son Dain 2021	24 25 491 234
img52	MUSCADET SÈVRE ET MAINE appellation MUScaDET SÈVRe ET MAINE CONTRÒLÉ: SUR LIE	23 354 493 495
img52	DOMAINE MARTIN MS EN BOUTEILLE PAR DOMINIQUE MARTIN VGNERON, 44690 SAINT-FIACRESUR-MAInE FRANOE PRODUIT DF FRANCE Los	109 519 420 653
img53	Aoeoues 9 umon SAUVIGNON BLANC LG.P. VAL DE LOIRE 2022	2 200 480 520
img54	2018 , Domgine Gujon 4 BoyRGuEil  [ 16 9 Appelladion Bourgued] Contrôlée 1 4 Valde Valler] 2 Loire Loire 1 1 AYTHENTIQUE 5 9	0 10 553 642
img55	SANCERRE SBevée mis en bouteilte has @ Maison_ 'Yamglais-SSfateau 2013	23 121 363 349
img55	Yanolois; Shotenn Depuis 1885 prodUoe oF FRANCE A	41 385 386 584
img56	Bamasd	3 14 340 174
img56	SAVENNIÈRES Upellation = SAVENNIÈRES contRôlÉe	3 442 330 568
img57	VENDANGES 2013 Iluscadet Sove 8 Jaine #ppell-tiON MuscaDET sevre ET MAiNE ContaoLÉE Sp S [Domaine de la Quilla Mis en bouteille au domaine par Domaines VINET 44690 LA HAYE-FOUASSIÈRE, FRANCE [a WHITE LOIRE WINE (oieT Bill 7ioul IMPORTED BY ROBERT KACHER SELECTIONS NEW YORK	0 20 358 565
img58	TERROIR SILEX	128 44 296 70
img58	CHATEAU DE	81 90 346 144
img58	FONTAINE-AUDON SANCERRE 2013	14 136 411 296
img58	pRodUce OF FRANOE H	118 526 414 581
img59	8mcèvv 2P[ll 4 1 1 0 5 A N € [ R R [ 0 N k '04 ( (	54 320 421 445
img59	omaine @Martín V 1 G n E R 0 N	114 506 358 604
img60	CENTRAL OTAGO PINOT NOIR 2022 NEW ZEALAND lure	-26 260 289 674
img60	Swl	134 -12 392 217
img61	KONO WINE OF NEW ZEALAND	13 15 330 178
img61	SAUVIGNON BLANC MARLBOROUGH	34 550 303 665
img62	ISI JICBRIDE SISTERS COLLECTIon SAUVIGNON BLANC Alanlencugh NEW ZEALAND bon_+hu oren Owned VinTNERS Sisters 2021	22 144 468 671
img63	MATUA	31 301 426 417
img63	2018	194 486 264 514
img63	PINOT NOIR	162 530 294 560
img63	MARLBOROUCH NEWZEALnD	111 553 344 665
img64	KONO WINE OF NEW ZEALAND	8 2 410 206
img64	2013	186 320 244 352
img64	MARLBOROUGH SAUVIGNON BLANC	105 356 328 449
img64	MARLBOROUGH REGION 75Om|	19 594 333 661
img65	IAYLOR FLADGATE 6 9 ute 'BOTTLED VINTAGE PORI 2OII Taylor Fladgatl & Yfatman a5hc Qunte Fnc uad V anolunf Kwikrs Vnav JA, Procuct 0f Portugal	4 340 366 624
img65	The LBv From Oporto	59 650 311 684
img65	Ilor	103 169 161 197
img65	DgT	209 172 248 194
img66	Ostablished 1790	178 50 314 76
img66	PORT FINE RUBY'	116 59 377 177
img66	This port is the best wmes Nearly 200years bav unmisbake bleen  andeman 6,	60 256 196 428
img66	produced from ofthe Douro region. [Bantemencp port excellent character Gortugal [Oporto VINHO DO PORTO	318 254 458 485
img66	PRODUCEOF PORTUGAL	53 447 163 488
img66	ALC 19,5% BY VOL 750 Ml SANDEMAN	18 558 486 677
img67	established 1790	159 50 286 78
img67	PORTO FINE TAWNY'	92 68 360 179
img67	This port is the best wmnes Nearly 200 years wnmistaxe Bleen haue Jandeman 6,	54 256 176 428
img67	produced from ofthe Douro regions oreroenence Sandeman port excellent character Gortugal Oporto BOTTLEDIN PORTUGAL	284 252 414 488
img67	PRODUCE OF PORTUGAL	42 446 146 488
img67	ALC 19.5% BY vol 750 ML SANDEMAN	12 562 437 676
img68	2 0 1 4	274 104 392 152
img68	WilLaMETTe VaLLey VINEYARDS	102 330 577 497
img68	KGstote WILLAMETTE VALLeY . PINOT _ 'NoIR	70 660 599 907
img69	2 0 1 3	243 19 361 59
img69	WILLAMETTE VALLBY VINEYARDS	50 269 546 402
img69	WILLAMETTE VALLEY PINOT NOIR WHOLE CLUSTER	47 521 548 643
img70	Buttonwood G R 0 V E	223 63 676 189
img70	W I N E R Y	271 309 631 353
img70	2017	408 448 488 480
img70	~Marnie cÁnn	144 499 757 609
img70	FROM THE GRAPE VINES OF the finger Lakes Region the cellars %f the Pittard family	67 754 829 839
img71	IIILLBROOK 1985 30 YEARS 2015	0 55 628 294
img71	PROPRIETOR'S 2015 SPECIAL RESERVE TOCAI FRIÛLANO HUDSON ' RIVER REGION, ESTATE BOTTLED	24 638 587 824
img72	9464 z > 1980	74 0 245 180
img72	bssph [ Phcls ! Vncyâr Mpa 'Valley / Ncohol 13.8%by vohme and { bottled | nph ( Phelps ` Red Wine produced Californiz 'Cihxmnet Vineyards; St Helena; 85%) and Merlor _ Sauyignon	-11 476 323 673
img73	MEYER-FONNÉ VIN D ALSACE PINOT G RIS RÉSERVE 2 0 1 6	22 247 555 554
img73	MIs EN BOUTEILLE À LA PROPRTETS FRANCOIS ET FELIX MEYER, VIGNERONS KATZENTHAL	91 583 483 697
img74	DOMAINE OSTERTAG VIN D'ALSACE Aoociaon Aksace Contrdce	78 0 270 173
img74	2018	139 289 203 331
img74	FRONHOLZ Muscat	91 331 253 437
img74	fI 01 Lr hchsbno 7508 Peut presenter un aépàt nature de (isaux tamniques Mis en bouteile au DOMAINE OSTERTAG Mgemna 67680 Epfg France	74 617 265 814
img75	ALS A C E ApPellation ALS4 c e Gontaolee G eWuRZTRAMINE R	228 46 725 213
img75	TRIMBACH DEPUIS 1626	192 446 778 541
img75	85hacho VENDANGES TARDIVES Tum| MIS EN BOUTEILLE PAR FE TRIMBACH A RIBEAUVILLÉ ALSACE FRANCE PRODUCT OF FRANCE	40 554 918 637
img76	A L S A € E 2022 APPELL AT10 N A L $ A € E CO NTRÖLÉf PINOT BLANC	30 239 437 422
img76	B L A N € K B ! A N c ( d 0 M ^ [ n € P A V 1 ft: Hise Blanck _ et s Fon Vignezods Bouteilles de Paul Product € of au Domaine Kientzheim Haut-Rhin France	20 453 442 655
img77	Campo 2020 Malbec Mendoza, Argentina	82 522 328 665
img78	HIGH ALTITUDE VINEYARD8	93 33 263 65
img78	DESD E 1 8 3 1	197 199 319 215
img78	ES ' A 1' I To R R €  N'F F S 2028 Sal7a YAllE SRsrnf{n^ A Ic bohald Ilex DoMAlD 048 80unvd	56 473 307 649
img78	Colovns	6 49 344 226
img79	EST	69 107 113 127
img79	1975	337 105 393 125
img79	ASHBROOK ESTATE WILYAB RU P MA R G A R ET RIVER	0 254 474 366
img79	SEMILLON 20 21	109 437 353 531
img79	Single ` Vineyard & Hand Picked	71 587 390 643
img80	WIRRA WIRRA	99 161 359 223
img80	2022	191 319 279 361
img80	CHURCH BLOCK CABERNET SAUVICNON-SHiRAZ-MeRlor McLAREN VALE	43 380 411 578
img81	10 R B RE €I	69 180 433 278
img81	BAROSSA VALLEY	95 347 328 397
img81	2012	179 437 241 475
img81	Woodcutter's Semillon	74 477 351 532
img81	26 {6a4sy ) Trbrek 1 {Vuasersp Roemfpaso Rond, Mz	28 593 429 660
img82	the	8 496 62 544
img82	Lackp Cantn? 2015 SHIRAZ McLAREN VaLE AUSTRALIA	45 443 454 642
img83	Lenz (oscR	82 23 349 97
img83	BLAUFRÄNKISCH produCt oF AustRia BuRGENLAND	27 419 387 537
img84	ERICH SATTLER Zweigelt   2020 BURGENLAND	99 174 507 624
img85	Paujckais - Oloss APPELLATION D'ORIGINE PROTÉGÉE 2022 %til Cthut MIS EN BOUTEILLE PAR A THEVENET 28, IMPASSE DES MICOUDS 69910 VILLIÉ- MORGON	19 115 463 524
img86	WASHINGTON HILLS 2012 WA SHINGTON STATE	7 71 532 242
img86	JMerbot	81 263 433 375
img87	2005	272 34 388 64
img87	Château Olivier GRAND CRU CLASSÉ DE CRAVES PESSAC-LÉOGNAN APPELLATION PESSAC-LLOGNAN CONTROLEE	88 358 598 535
img88	2018	192 10 316 60
img88	Le Dauphin d Olivier Grand Vin de Graves PESSAC-LÉOGNAN	47 301 474 633
img89	BES	477 93 504 113
img89	LORME de Oauansasie HAUT-MÉDOC	58 366 440 593
img90	@hâteaw	128 178 329 239
img90	ORanSasies 2076` SECOnD CRU Classe En 1855 MARG AUX	51 232 426 426
img91	Phateaua	166 96 296 124
img91	SRauaanSassies Siconp GRAND CRu ClassÉ EN 1855 M A RGA UX 48 l 71 10i La ne Con |/< 11 € ( B21pu ChaEAU Ru Ce en4 Paoenictaine Maoau 99400 Honofaue 4nce Mis EN 00   CAATEau @uanD BonDrau2 PRODUIT DE FRANCE PRODUCT OF FRANCE YW Doh11e	58 116 411 308
img91	1 1 H 13,5% VOL	26 334 120 463
img91	"	423 339 437 361
img91	750 ML	378 426 442 456
img92	B	243 141 285 193
img92	CHÂTEAU	124 275 391 327
img92	CROIZET-BAGES Crand CRu CLASSE En 1855 PAU I JLIAC 2016	19 331 523 543
img92	Pa Co	465 604 523 633
img92	0ue ProprietaTRE ÉLEVEUR	32 608 437 655
img93	ALTOS DELPLATA	72 58 438 222
img93	MALBEC 2 0 1 4	176 270 346 322
img93	TERRAZAS de los Andes MEndo Z A ARGENTiNA	119 520 392 615
img94	BsG	230 84 318 132
img94	Barton & Guestier DEPU1S 17 2 5 SAINT-EMILION Appellation Saint-Emilion €ontRolee MERLOT CABERNET FRANC	39 170 489 405
img94	2010	228 486 312 518
img95	CHÂ TEAU 'U; g}lanquet )	41 25 375 179
img95	Sr 'KMILION GIRAID € GRU  2014	16 469 357 568
img95		173 593 201 607
img95	Mis EN ChA TEAU BOUTBILLE AU	39 609 329 651
img96	GRAND GRU CLASSÉ	147 18 439 58
img96	C II A T E A U	186 256 408 286
img96	MONBOUSQUET	52 284 545 352
img96	SAINT-EMILION CRAND CRU	83 406 508 438
img97	PACIFIC RIN Dry Riesling YAKIMA VALLEY	170 152 537 319
img97	20 13	430 440 480 500
img97	celnium 9inenadd	367 525 511 594
img98	GRAND VIN DE BORDEAUX	120 33 389 69
img98	CHÂTEAU	161 336 346 387
img98	MARJOSSE 2016 MIS EN BouTEILLE AU CHÁTEAU PIERRE LURTON	34 358 468 636
img99	2023	330 22 444 72
img99	CHATEAU	120 331 379 368
img99	BONNET SAUVIGNON BLANC SÉMILLON 0 R D E a U X N T R E P € U X = E R $	32 348 477 584
img99	4 n D] ^ M 1  ' F 0 "	118 613 391 651
img100	PETIT GUIRAUD 2020 SaUTERAES	92 123 405 523
img101	RAND VIN DE	0 16 126 52
img101	Juhdd Srance	2 78 92 102
img101	Sroduct , 'dSnm	280 78 361 109
img101	unssouu:  tontache , ABBAYE DE MORGEOT NPELLATION CHASSAGNE-MONTRACHET 1" CRU CONTROLÉE 2004 VINIFIÉ ÉLEVEETMIS EN BOUTEILLES PAR RFCOLTE DU DOMAINE Blviv Sefnin 01sa 2i90 ful IGNY MONIRACHE T d	-17 157 368 476
img101	BOURGOGN	261 18 372 65
img102	MAISON CHAMPY Produgt 0F FRANCE	35 0 349 73
img102	{ORTON-CHARLEMAGNI Pellation CoRton-ChARLEMAGNE GRanD CRU contoli Grand Gru	0 135 385 287
img102	nicha RAnc	270 341 319 365
img102	TE |	120 348 172 356
img102	BERUNE €0 E-0'oR VIN DE BOURGOGNE	33 357 360 431
img103	BOLLA F 0 N D A [ A N E L 1 8 8 3 MERLOT Italan SBed %ine	81 163 405 416
img103	P R 0 D 0 T T 0 1 N 1 T A L [ A	71 551 403 571
img104	TENUTA 5AN GIOVANNI	159 289 355 305
img104	VALDISANTI TOSCANA INDICAZIONE GEOGRAFICA TIPICA	77 307 437 404
img104	TOLAINI	165 603 343 629
img105	2005	264 46 378 94
img105	Balard-%lonhrache} Grand Cru APPELLATION CONTROLÉE whitE BURGUNDY TABLE WINE 1e { bouteilles SCE DOMAINE RAMONET oomaiwe VITICULTEUR CHASSAGNE-MONTRACHET Feuce oF france COTE-DOR , FRANCE	0 117 687 492
img105	JYTEnTS 750 ML	0 522 128 548
img105	CONTAINS SULFITES	169 523 428 550
img105	ALCOHOL 13.5/ BY YO	478 522 684 548
img106	FAMILLE PAQUET G R A N V / N U R G 0 G N ( POUILLY-FUISSÉ Appellation origine Protegee 2019 RÉCOLTÉ ) ET MIS EN BOUTEILLE AU DOMAVE VINIFIÉ PAR CAMILLE PAQUET	1 149 343 409
img107	DOMAINE J,-C. REGNAUDOT FILS	59 143 454 231
img107	MARANGES aPpELLaTION MARANGES CONTRÔLÉE RED WINE	81 254 435 410
img107	2021	221 479 303 515
img108	FORCE Chljpo ' CIEL RED DU CHEVAL VINEYARD MOUNTAIN COLLABORATION SERIES VI RED WINE	52 405 681 949
img108	2013	576 20 663 85
img109	MONTES ~CLASSIC SERIES ~	106 98 457 222
img109	2014 CHARDONNAY D.0. CURICO VALLEY CHILE	285 494 472 617
img110	MARQUES CASA CONCHA 2013 CARMENERE D.O. PEUMO CHILE	88 78 450 334
img110	 6 7ao	53 375 107 433
img110	CoNc_AY TORo 2222 PRODUCE OF ChILE	83 515 450 633
img110	[s 	146 361 185 379
img111	MARQUES C CASA CONCHI	48 177 468 381
img111	CARMENERE	168 420 387 456
img111	D.0. PEUMO Qeumna Oineqasds CONCHA Y TORO DESdE	126 521 410 662
img111	ATAGE 202 2	4 499 78 568
img112	DR .HEGex	123 264 449 355
img112	IHRINGER WINKLERBERG SILVANER 2020	114 463 381 699
img113	SCHLOSS VOLLRADS ESTATE	42 69 349 210
img113	2014	157 449 239 485
img113	Qualitätswein	96 480 297 521
img113	RHEINGAU RTESLING V D P	19 571 366 637
img114	SCHLOSS VOLLRADS ESTATE	44 75 351 215
img114	2013 Spätlese	135 458 257 533
img114	RHEINGAU RIESLING VD P	11 586 362 649
img115	TRIVENTO A RGENTINA	51 86 486 184
img115	20 15	238 252 324 276
img115	To R R 0 N TÉ $ RES E RVE	120 276 430 331
img115	M K N D 0 2 ^	193 591 372 619
img116	DR LOOSEN 2007 Erdener Treppchen Riesling Kabinett Frlo maishey   aoduceofGerum Bacealuo;HenguT 0r LOoSEN ' 0-54470 BeRastelilla Apna 2 576162 16 08 ' ExTHalt Suuie 150 Mosel- Saar-Ruwer Kde	12 174 413 539
img117	Leltz W E I N G U T	87 47 277 136
img117	2OI2	148 208 212 232
img117	Rüdesheimer Magdalenenkreuz Spätlese	66 242 295 361
img117	RHEINGAU GERMANY	78 479 284 503
img117	R [ E s L [ N G	32 550 329 591
img118	GeJchw ibeet3-( cben 0-51599u Alfred Merkelbach Inh Aoll Morkelbach Ürziger 2014er Würzgarten Riesling A uslese Sl6f Gusablíllung ' APNr 2 602 055 011 15 contains =	26 336 397 578
img118	Woea ueloarili	40 154 115 184
img119	2 0 1 7	269 106 416 161
img119	WILLA METTE VALLEY VINEYA RDS	70 292 619 445
img119	luhole Chustes ROSÉ OF PINOT NOIR WILLAMETTE VALLEY OREGON	69 583 610 922
img120	2	12 68 38 106
img120	COS 8 CERASUOLO DI VITTORIA DECLASSICONE 1 CONTROLLATA € GARANTITA DENOMINAZIONE ORIGINE MMBOIEIGDAA TGRICOORICIOS 1 DI GIAMBATTISTA CILIA E Giusto OCCHIPINTI 2OII 8 SICILIA e 750 ML PRODOTTO IN ITALIA 13% VOL	36 28 666 677
img121	BOLLA F 0 N D A [ A N E L 1 8 8 3 MERLOT Italian SBed %ine	83 163 407 416
img121	P R 0 D 0 T T 0 1 N 1 T A 1 1 A	75 548 406 572
img122	TENUTA SAN GIOVANNI	159 289 355 303
img122	VALDISANTI TOSANA INDICAZIONE GEOGRAFICA Tipica	79 307 439 401
img122	TOLAINI	165 601 343 627
img123	Brunello dioontalcino Doco	33 147 312 195
img123	CASTELLO	113 531 233 551
img123	BANFI 2009	72 544 280 626
img124	VALPOLICELLA RIPASSO Cassee DENOMINAZIONE DI ORIGINE Sepeuese CoNTROLLATA	39 173 321 343
img124	FARINA	82 398 278 446
img125	ESTA BLISHED 1967 Ciatedftey ichell	104 34 548 259
img125	VINTAGE 2019 CHARDONNAY COLU M BIA VALLEY ootstock 100% Vinifera	230 455 471 611
img126	WOODWARD CANYON	31 340 417 393
img126	2 0 1 1	188 446 258 472
img126	Columbia Valley Merlot	144 498 308 558
img127	WALLA WALLA (ntnens	36 142 506 348
img127	2017	222 482 322 532
img127	WALLA WALLA VALLEY CABERNÈT SAÜVIGNON WASHINGTON STATE	53 525 512 662
img127	ALC 14.99 BY VOL	207 697 349 717
img128	2007	22 141 93 180
img128	2001	480 148 536 178
img128	IP	235 197 327 241
img128	PALMER Qinepards North Fork of Long Island	87 239 473 385
img128	CABERNET SAUVIGNON PRODUCED Q BOTTLED BY PALMER VINEYARDS AQUEBOGUE. NEW YORK GtreR poeet ALC 13.0% BY VOL 750 ML	27 391 539 604
